날짜,순위,팀명,경기,승,패,무,승률,최근10경기
2010.03.27,1,SK,1,1,0,0,1.000,2승0무0패
2010.03.27,1,두산,1,1,0,0,1.000,2승0무0패
2010.03.27,1,넥센,1,1,0,0,1.000,2승0무0패
2010.03.27,1,LG,1,1,0,0,1.000,1승0무1패
2010.03.27,5,KIA,1,0,1,0,0.000,0승0무2패
2010.03.27,5,롯데,1,0,1,0,0.000,0승0무2패
2010.03.27,5,삼성,1,0,1,0,0.000,1승0무1패
2010.03.27,5,한화,1,0,1,0,0.000,0승0무2패
2010.03.28,1,SK,2,2,0,0,1.000,2승0무0패
2010.03.28,1,두산,2,2,0,0,1.000,2승0무0패
2010.03.28,1,넥센,2,2,0,0,1.000,2승0무0패
2010.03.28,4,삼성,2,1,1,0,0.500,1승0무1패
2010.03.28,4,LG,2,1,1,0,0.500,1승0무1패
2010.03.28,6,KIA,2,0,2,0,0.000,0승0무2패
2010.03.28,6,롯데,2,0,2,0,0.000,0승0무2패
2010.03.28,6,한화,2,0,2,0,0.000,0승0무2패
2010.03.29,1,SK,2,2,0,0,1.000,2승0무0패
2010.03.29,1,두산,2,2,0,0,1.000,2승0무0패
2010.03.29,1,넥센,2,2,0,0,1.000,2승0무0패
2010.03.29,4,삼성,2,1,1,0,0.500,1승0무1패
2010.03.29,4,LG,2,1,1,0,0.500,1승0무1패
2010.03.29,6,KIA,2,0,2,0,0.000,0승0무2패
2010.03.29,6,롯데,2,0,2,0,0.000,0승0무2패
2010.03.29,6,한화,2,0,2,0,0.000,0승0무2패
2010.03.30,1,SK,3,3,0,0,1.000,3승0무0패
2010.03.30,1,두산,3,3,0,0,1.000,3승0무0패
2010.03.30,3,삼성,3,2,1,0,0.667,2승0무2패
2010.03.30,3,넥센,3,2,1,0,0.667,2승0무1패
2010.03.30,5,LG,3,1,2,0,0.333,1승0무2패
2010.03.30,5,한화,3,1,2,0,0.333,1승0무2패
2010.03.30,7,KIA,3,0,3,0,0.000,1승0무3패
2010.03.30,7,롯데,3,0,3,0,0.000,0승0무3패
2010.03.31,1,SK,3,3,0,0,1.000,3승0무0패
2010.03.31,1,두산,3,3,0,0,1.000,3승0무0패
2010.03.31,3,넥센,3,2,1,0,0.667,2승0무1패
2010.03.31,4,삼성,4,2,2,0,0.500,2승0무2패
2010.03.31,5,LG,3,1,2,0,0.333,1승0무2패
2010.03.31,5,한화,3,1,2,0,0.333,1승0무2패
2010.03.31,7,KIA,4,1,3,0,0.250,1승0무3패
2010.03.31,8,롯데,3,0,3,0,0.000,0승0무3패
